_element_key,_element_name,_element_type,_list_child_element_keys
DOB,DOB,date,[]
achar,achar,string,[]
af,af,integer,[]
age_months,age_months,integer,[]
age_years,age_years,integer,[]
alteracao,alteracao,array,"[""alteracao_items""]"
alteracao_items,items,string,[]
coments,coments,string,[]
como,como,array,"[""como_items""]"
como_items,items,string,[]
conglo,conglo,string,[]
consent,consent,string,[]
consulta,consulta,string,[]
cont_ind,cont_ind,string,[]
data1,data1,date,[]
data2,data2,date,[]
data3,data3,date,[]
data4,data4,date,[]
diagnostico,diagnostico,string,[]
dob_or_age,dob_or_age,string,[]
doenca,doenca,string,[]
dose1,dose1,string,[]
dose2,dose2,string,[]
dose3,dose3,string,[]
dose4,dose4,string,[]
duracao,duracao,string,[]
escola,escola,integer,[]
esp_altera,esp_altera,string,[]
esp_comosaber_novembro,esp_comosaber_novembro,string,[]
esp_diagns,esp_diagns,string,[]
esp_rela,esp_rela,string,[]
etnia,etnia,string,[]
foto_f,foto_f,mimeUri,"[""foto_f_contentType"",""foto_f_uriFragment""]"
foto_f_contentType,contentType,mimeType,[]
foto_f_uriFragment,uriFragment,rowpath,[]
foto_v,foto_v,mimeUri,"[""foto_v_contentType"",""foto_v_uriFragment""]"
foto_v_contentType,contentType,mimeType,[]
foto_v_uriFragment,uriFragment,rowpath,[]
gps_af,gps_af,geopoint,"[""gps_af_accuracy"",""gps_af_altitude"",""gps_af_latitude"",""gps_af_longitude""]"
gps_af_accuracy,accuracy,number,[]
gps_af_altitude,altitude,number,[]
gps_af_latitude,latitude,number,[]
gps_af_longitude,longitude,number,[]
hospitalizada,hospitalizada,string,[]
inqui,inqui,string,[]
m1d2,m1d2,string,[]
m1d3,m1d3,string,[]
m2d2,m2d2,string,[]
m2d3,m2d3,string,[]
m3d2,m3d2,string,[]
m3d3,m3d3,string,[]
m4d2,m4d2,string,[]
m4d3,m4d3,string,[]
mes_moreu,mes_moreu,string,[]
nconsulta,nconsulta,integer,[]
ndoenca,ndoenca,integer,[]
objectivo,objectivo,string,[]
obsdate,obsdate,date,[]
outra_razao_m1d2,outra_razao_m1d2,string,[]
outra_razao_m1d3,outra_razao_m1d3,string,[]
outra_razao_m2d2,outra_razao_m2d2,string,[]
outra_razao_m2d3,outra_razao_m2d3,string,[]
outra_razao_m3d2,outra_razao_m3d2,string,[]
outra_razao_m3d3,outra_razao_m3d3,string,[]
outra_razao_m4d2,outra_razao_m4d2,string,[]
outra_razao_m4d3,outra_razao_m4d3,string,[]
outra_razao_qps,outra_razao_qps,string,[]
pensa,pensa,string,[]
pq_naodar,pq_naodar,string,[]
qual,qual,string,[]
razao_m1d2,razao_m1d2,string,[]
razao_m1d3,razao_m1d3,string,[]
razao_m2d2,razao_m2d2,string,[]
razao_m2d3,razao_m2d3,string,[]
razao_m3d2,razao_m3d2,string,[]
razao_m3d3,razao_m3d3,string,[]
razao_m4d2,razao_m4d2,string,[]
razao_m4d3,razao_m4d3,string,[]
razao_qps,razao_qps,array,"[""razao_qps_items""]"
razao_qps_items,items,string,[]
reacao_m1d2,reacao_m1d2,string,[]
reacao_m1d3,reacao_m1d3,string,[]
reacao_m2d2,reacao_m2d2,string,[]
reacao_m2d3,reacao_m2d3,string,[]
reacao_m3d2,reacao_m3d2,string,[]
reacao_m3d3,reacao_m3d3,string,[]
reacao_m4d2,reacao_m4d2,string,[]
reacao_m4d3,reacao_m4d3,string,[]
reason_no_consent,reason_no_consent,string,[]
region,region,string,[]
relacao,relacao,string,[]
saber_agosto,saber_agosto,string,[]
saber_novembro,saber_novembro,string,[]
saber_outubro,saber_outubro,string,[]
saber_setembro,saber_setembro,string,[]
sector,sector,string,[]
sexo,sexo,string,[]
sexo_respo,sexo_respo,string,[]
suportou,suportou,string,[]
tomar_qps,tomar_qps,string,[]
vi_cartao,vi_cartao,string,[]
vivo,vivo,string,[]
