tb,sector,region
Cumuda,Bafata,Bafata
Missira Bucari,Bafata,Bafata
Iero Iude,Bafata,Bafata
Sintcha Seco,Bafata,Bafata
Cidade de Bafata,Bafata,Bafata
Parquer Curu,Cosse,Bafata
Sintcha Umaro,Cosse,Bafata
Teneja Sabe,Bambadinca,Bafata
N bule,Bambadinca,Bafata
Quecuta,Bambadinca,Bafata
Mina,Xitole,Bafata
Sanque Bissari,Xitole,Bafata
Sintcha Conta,Xitole,Bafata
Cuta Penda,Contuboel,Bafata
Talico,Contuboel,Bafata
Sare Djeta,Contuboel,Bafata
Sare Debel,Contuboel,Bafata
Manden Mandinga,Gamamudo,Bafata
Sintcha Samba Lele,Gamamudo,Bafata
Djana ( Djanha ),Gamamudo,Bafata
Cheche,Boe,Gabu
Tenquinim,Boe,Gabu
Mudo,Pitche,Gabu
Sagoia,Pitche,Gabu
Darsalame (Sintcha Keuro),Pitche,Gabu
Sintcha Bu Djubi,Pitche,Gabu
Sintcha Cupe,Pitche,Gabu
Badjefa,Gabu,Gabu
Cima,Gabu,Gabu
Banje,Gabu,Gabu
Sintcha Mamadu Embalo,Gabu,Gabu
Sintcha Aladje,Gabu,Gabu
Mamadu Molo,Gabu,Gabu
Mamadu Quidafo,Pirada,Gabu
Jana,Pirada,Gabu
Ierobacunda,Pirada,Gabu
Cantaelcunda,Sonaco,Gabu
Curura Cherno,Sonaco,Gabu
Lenqueto  Cosse,Sonaco,Gabu
Buma,Sonaco,Gabu
