region,sector,tabanca
bafata,bafata,Afia I II
bafata,bafata,Anambe
bafata,bafata,Bagher
bafata,bafata,Bairro 1
bafata,bafata,Bairro 2 
bafata,bafata,Bairro 3
bafata,bafata,Bairro 4
bafata,bafata,Bairro 5 Caibara
bafata,bafata,Bairro 6  Amadora
bafata,bafata,Bairro Policia
bafata,bafata,Balin Djam
bafata,bafata,Banduma
bafata,bafata,Bantanguel
bafata,bafata,Belem
bafata,bafata,Bidjine
bafata,bafata,Binalu
bafata,bafata,Binate Inbana
bafata,bafata,Bissaque
bafata,bafata,Bissora
bafata,bafata,Bricama I
bafata,bafata,Bricama II
bafata,bafata,Bunancar
bafata,bafata,Buntunssum
bafata,bafata,Cadjutu
bafata,bafata,Caier Sane
bafata,bafata,Camancoto
bafata,bafata,Camaracunda
bafata,bafata,Campampe
bafata,bafata,Candemba Uri
bafata,bafata,Candembuia
bafata,bafata,Candemode
bafata,bafata,Candiquel
bafata,bafata,Caur
bafata,bafata,Clufi
bafata,bafata,Coburnel
bafata,bafata,Colimolo
bafata,bafata,Cubaca
bafata,bafata,Cumuda
bafata,bafata,Curura
bafata,bafata,Dandum
bafata,bafata,Darsalam
bafata,bafata,Darsalam
bafata,bafata,Demba Tchadje
bafata,bafata,Dembeldjumpore
bafata,bafata,Djadda
bafata,bafata,Djana
bafata,bafata,Djaubecuta
bafata,bafata,Djaubemaunde
bafata,bafata,Djidda
bafata,bafata,Dutadjara
bafata,bafata,Embalo Cunda
bafata,bafata,Embalocunda
bafata,bafata,Fulamansa
bafata,bafata,Ga-Fati
bafata,bafata,Gandjare
bafata,bafata,Gantauda
bafata,bafata,Gollere
bafata,bafata,Gueladjau
bafata,bafata,Madina Bonco
bafata,bafata,Madina Demba
bafata,bafata,Madina El
bafata,bafata,Madina sinho
bafata,bafata,Madina Tcherno Ali
bafata,bafata,Malam Baio
bafata,bafata,Mama Ioba
bafata,bafata,Mamacono
bafata,bafata,Mancafu
bafata,bafata,Massina
bafata,bafata,Missira
bafata,bafata,Nema Djacanca/Fula
bafata,bafata,Nema I II
bafata,bafata,Nhambanha
bafata,bafata,Nhantana
bafata,bafata,Palhota
bafata,bafata,Ponta Aires
bafata,bafata,Ponta Aristides
bafata,bafata,Ponta Emanuel
bafata,bafata,Ponta Mateus
bafata,bafata,Ponta Motor
bafata,bafata,Ponta Natcha
bafata,bafata,Ponta Novo
bafata,bafata,Ponta Pacal
bafata,bafata,Ponta Turquis
bafata,bafata,Praça
bafata,bafata,Prenha
bafata,bafata,Projecto
bafata,bafata,Quenhato
bafata,bafata,Rabba
bafata,bafata,Rocha de Baixo
bafata,bafata,Rocha de Cima
bafata,bafata,Sadjo Balele
bafata,bafata,Samba Dahabade
bafata,bafata,Samba Sadjo
bafata,bafata,Samba Sale
bafata,bafata,Sambel Embalo
bafata,bafata,Sami Cuia
bafata,bafata,Sami Maudo
bafata,bafata,Sanghare
bafata,bafata,Santandjam
bafata,bafata,Santanto
bafata,bafata,Sao Domingos
bafata,bafata,Sare bambe
bafata,bafata,Sare Djae
bafata,bafata,Sare Iero 
bafata,bafata,Sare Iero Ba
bafata,bafata,Sare Meta
bafata,bafata,Siberia
bafata,bafata,Sindjai
bafata,bafata,Sindjola
bafata,bafata,Sintcaha Carimo
bafata,bafata,Sintch Aladje
bafata,bafata,Sintcha Ade
bafata,bafata,Sintcha Adulai Bafata
bafata,bafata,Sintcha Adulai Cossara
bafata,bafata,Sintcha Agostinho
bafata,bafata,Sintcha Aruna/Amedalai
bafata,bafata,Sintcha Bacar
bafata,bafata,Sintcha Bilale
bafata,bafata,Sintcha Bonco
bafata,bafata,Sintcha Botche
bafata,bafata,Sintcha Bubacar
bafata,bafata,Sintcha Bubacar Cossara
bafata,bafata,Sintcha Bucar
bafata,bafata,Sintcha Bucar
bafata,bafata,Sintcha Califa
bafata,bafata,Sintcha Demba
bafata,bafata,Sintcha Demba Seide
bafata,bafata,Sintcha Dembael
bafata,bafata,Sintcha Djane
bafata,bafata,Sintcha djoquel
bafata,bafata,Sintcha Dulo
bafata,bafata,Sintcha Faram
bafata,bafata,Sintcha Funto
bafata,bafata,Sintcha Garanque
bafata,bafata,Sintcha Ghalem
bafata,bafata,Sintcha Indjai
bafata,bafata,Sintcha Infali
bafata,bafata,Sintcha Issa
bafata,bafata,Sintcha Lamine
bafata,bafata,Sintcha Madi
bafata,bafata,Sintcha Mama Sira
bafata,bafata,Sintcha Mamadu
bafata,bafata,Sintcha Mamadu Cossara
bafata,bafata,Sintcha Mamudo
bafata,bafata,Sintcha Medjo
bafata,bafata,Sintcha Molo
bafata,bafata,Sintcha Molo
bafata,bafata,Sintcha Molo Maria
bafata,bafata,Sintcha Mussa 
bafata,bafata,Sintcha Mussa General
bafata,bafata,Sintcha Pate
bafata,bafata,Sintcha Quemade
bafata,bafata,Sintcha Saido
bafata,bafata,Sintcha Saliu
bafata,bafata,Sintcha Samadeia
bafata,bafata,Sintcha Samba
bafata,bafata,Sintcha Sambel
bafata,bafata,Sintcha Sene
bafata,bafata,Sintcha Sori
bafata,bafata,Sintcha Subum
bafata,bafata,Sintcha Tchiuto
bafata,bafata,Sintcha Umaro
