_element_key,_element_name,_element_type,_list_child_element_keys
achar,achar,string,[]
comentario,comentario,string,[]
conglomerado,conglomerado,string,[]
conglomerado_id,conglomerado_id,string,[]
consent,consent,string,[]
contraindicacao_qps,contraindicacao_qps,array,"[""contraindicacao_qps_items""]"
contraindicacao_qps_items,items,string,[]
cs,cs,string,[]
duracao_ano,duracao_ano,integer,[]
duracao_mes,duracao_mes,integer,[]
escolaridade,escolaridade,integer,[]
esp_contra_qps,esp_contra_qps,string,[]
etnia,etnia,string,[]
nao_participacao,nao_participacao,string,[]
onde_ouviu,onde_ouviu,string,[]
outra_etnia,outra_etnia,string,[]
outro_nao_participacao,outro_nao_participacao,string,[]
outro_onde_ouviu,outro_onde_ouviu,string,[]
outro_prevenir,outro_prevenir,string,[]
outro_relacao,outro_relacao,string,[]
outro_servir,outro_servir,string,[]
ouvir_qps,ouvir_qps,string,[]
participacao_qps,participacao_qps,string,[]
prevenir,prevenir,array,"[""prevenir_items""]"
prevenir_items,items,string,[]
prevenir_outra,prevenir_outra,string,[]
razao,razao,string,[]
recusar_dar_qps,recusar_dar_qps,string,[]
region,region,string,[]
relacao,relacao,string,[]
rumor_qps,rumor_qps,string,[]
sector,sector,string,[]
servir,servir,array,"[""servir_items""]"
servir_items,items,string,[]
sexo,sexo,string,[]
tomar,tomar,string,[]
zona,zona,string,[]
