cs,region,codigo
bafata,bafata,BA234
bafata,bafata,BA265
bafata,bafata,BA218
bafata,bafata,BA282
bafata,bafata,BA203
bafata,bafata,BA184
bafata,bafata,BA257
bafata,bafata,BA292
bafata,bafata,BA288
bafata,bafata,BA166
bafata,bafata,BA201
bafata,bafata,BA173
bafata,bafata,BA297
bafata,bafata,BA212
bafata,bafata,BA150
bafata,bafata,BA189
bafata,bafata,BA228
bafata,bafata,BA289
bafata,bafata,BA192
bafata,bafata,BA154
bafata,bafata,BA187
bafata,bafata,BA232
bafata,bafata,BA291
bafata,bafata,BA237
bafata,bafata,BA271
bafata,bafata,BA255
bafata,bafata,BA161
bafata,bafata,BA276
bafata,bafata,BA167
bafata,bafata,BA177
bafata,bafata,BA165
bafata,bafata,BA235
bafata,bafata,BA220
bafata,bafata,BA182
bafata,bafata,BA162
bafata,bafata,BA202
bafata,bafata,BA164
bafata,bafata,BA188
bafata,bafata,BA160
bafata,bafata,BA230
bafata,bafata,BA283
bafata,bafata,BA272
bafata,bafata,BA290
bafata,bafata,BA236
bafata,bafata,BA253
bafata,bafata,BA204
bafata,bafata,BA156
bafata,bafata,BA217
bafata,bafata,BA224
bafata,bafata,BA214
bambadinca,bafata,KN363
bambadinca,bafata,KN306
bambadinca,bafata,KN423
bambadinca,bafata,KN388
bambadinca,bafata,KN372
bambadinca,bafata,KN435
bambadinca,bafata,KN367
bambadinca,bafata,KN347
bambadinca,bafata,KN386
bambadinca,bafata,KN418
bambadinca,bafata,KN395
bambadinca,bafata,KN345
bambadinca,bafata,KN342
bambadinca,bafata,KN352
bambadinca,bafata,KN394
bambadinca,bafata,KN446
bambadinca,bafata,KN430
bambadinca,bafata,KN429
bambadinca,bafata,KN359
bambadinca,bafata,KN398
bambadinca,bafata,KN449
bambadinca,bafata,KN433
bambadinca,bafata,KN346
bambadinca,bafata,KN316
bambadinca,bafata,KN357
bambadinca,bafata,KN336
bambadinca,bafata,KN392
bambadinca,bafata,KN318
bambadinca,bafata,KN405
bambadinca,bafata,KN428
bambadinca,bafata,KN301
bambadinca,bafata,KN408
bambadinca,bafata,KN338
bambadinca,bafata,KN415
bambadinca,bafata,KN437
bambadinca,bafata,KN349
bambadinca,bafata,KN397
bambadinca,bafata,KN412
bambadinca,bafata,KN325
bambadinca,bafata,KN335
bambadinca,bafata,KN341
bambadinca,bafata,KN425
bambadinca,bafata,KN442
bambadinca,bafata,KN324
bambadinca,bafata,KN329
bambadinca,bafata,KN417
bambadinca,bafata,KN383
bambadinca,bafata,KN416
bambadinca,bafata,KN384
bambadinca,bafata,KN333
ganmamudo,bafata,MM515
ganmamudo,bafata,MM569
ganmamudo,bafata,MM503
ganmamudo,bafata,MM586
ganmamudo,bafata,MM455
ganmamudo,bafata,MM501
ganmamudo,bafata,MM566
ganmamudo,bafata,MM598
ganmamudo,bafata,MM467
ganmamudo,bafata,MM489
ganmamudo,bafata,MM511
ganmamudo,bafata,MM553
ganmamudo,bafata,MM453
ganmamudo,bafata,MM510
ganmamudo,bafata,MM556
ganmamudo,bafata,MM451
ganmamudo,bafata,MM576
ganmamudo,bafata,MM546
ganmamudo,bafata,MM525
ganmamudo,bafata,MM591
ganmamudo,bafata,MM557
ganmamudo,bafata,MM551
ganmamudo,bafata,MM457
ganmamudo,bafata,MM570
ganmamudo,bafata,MM452
ganmamudo,bafata,MM578
ganmamudo,bafata,MM538
ganmamudo,bafata,MM512
ganmamudo,bafata,MM462
ganmamudo,bafata,MM540
ganmamudo,bafata,MM584
ganmamudo,bafata,MM543
ganmamudo,bafata,MM587
ganmamudo,bafata,MM561
ganmamudo,bafata,MM487
ganmamudo,bafata,MM488
ganmamudo,bafata,MM559
ganmamudo,bafata,MM486
ganmamudo,bafata,MM496
ganmamudo,bafata,MM454
ganmamudo,bafata,MM583
ganmamudo,bafata,MM482
ganmamudo,bafata,MM508
ganmamudo,bafata,MM528
ganmamudo,bafata,MM513
ganmamudo,bafata,MM470
ganmamudo,bafata,MM537
ganmamudo,bafata,MM565
ganmamudo,bafata,MM481
ganmamudo,bafata,MM518
gabu,gabu,GU613
gabu,gabu,GU694
gabu,gabu,GU675
gabu,gabu,GU661
gabu,gabu,GU644
gabu,gabu,GU603
gabu,gabu,GU624
gabu,gabu,GU684
gabu,gabu,GU710
gabu,gabu,GU671
gabu,gabu,GU630
gabu,gabu,GU607
gabu,gabu,GU623
gabu,gabu,GU736
gabu,gabu,GU643
gabu,gabu,GU611
gabu,gabu,GU655
gabu,gabu,GU686
gabu,gabu,GU688
gabu,gabu,GU678
gabu,gabu,GU651
gabu,gabu,GU719
gabu,gabu,GU687
gabu,gabu,GU660
gabu,gabu,GU681
gabu,gabu,GU608
gabu,gabu,GU618
gabu,gabu,GU658
gabu,gabu,GU664
gabu,gabu,GU706
gabu,gabu,GU740
gabu,gabu,GU707
gabu,gabu,GU602
gabu,gabu,GU712
gabu,gabu,GU698
gabu,gabu,GU714
gabu,gabu,GU724
gabu,gabu,GU689
gabu,gabu,GU670
gabu,gabu,GU685
gabu,gabu,GU612
gabu,gabu,GU701
gabu,gabu,GU654
gabu,gabu,GU716
gabu,gabu,GU659
gabu,gabu,GU609
gabu,gabu,GU615
gabu,gabu,GU652
gabu,gabu,GU695
gabu,gabu,GU663
sonaco,gabu,SC855
sonaco,gabu,SC770
sonaco,gabu,SC795
