_element_key,_element_name,_element_type,_list_child_element_keys
DOB_ou_idade,DOB_ou_idade,string,[]
MUAC,MUAC,number,[]
TDR,TDR,string,[]
acompanhante,acompanhante,string,[]
ano,ano,integer,[]
bebe,bebe,string,[]
cabezado,cabezado,note,[]
coceira,coceira,string,[]
codigo,codigo,string,[]
codigo_lamina,codigo_lamina,assign,[]
come,come,string,[]
coment_inclusao,coment_inclusao,string,[]
consentimento,consentimento,string,[]
convulsao,convulsao,string,[]
cs,cs,string,[]
date_AQ,date_AQ,string,[]
date_SP,date_SP,string,[]
date_adm1,date_adm1,string,[]
date_adm2,date_adm2,string,[]
date_adm3,date_adm3,string,[]
date_adm4,date_adm4,string,[]
date_rastreio,date_rastreio,string,[]
desnutrido,desnutrido,string,[]
dn,dn,string,[]
doente,doente,string,[]
dor_articular,dor_articular,string,[]
dose_AQ,dose_AQ,string,[]
dose_SP,dose_SP,string,[]
dose_adm1,dose_adm1,string,[]
dose_adm2,dose_adm2,string,[]
dose_adm3,dose_adm3,string,[]
dose_adm4,dose_adm4,string,[]
esp_sintomas,esp_sintomas,string,[]
especificar_condicao,especificar_condicao,string,[]
exantema,exantema,string,[]
exclusao,exclusao,string,[]
febre,febre,string,[]
febre_history,febre_history,string,[]
hora_AQ,hora_AQ,time,[]
hora_SP,hora_SP,time,[]
hora_adm1,hora_adm1,time,[]
hora_adm2,hora_adm2,time,[]
hora_adm3,hora_adm3,time,[]
hora_adm4,hora_adm4,time,[]
hora_vomito_AQ,hora_vomito_AQ,time,[]
hora_vomito_SP,hora_vomito_SP,time,[]
hora_vomito_adm1,hora_vomito_adm1,time,[]
hora_vomito_adm2,hora_vomito_adm2,time,[]
hora_vomito_adm3,hora_vomito_adm3,time,[]
hora_vomito_adm4,hora_vomito_adm4,time,[]
id_estudo,id_estudo,string,[]
id_rastreio,id_rastreio,integer,[]
id_visita,id_visita,assign,[]
lamina,lamina,string,[]
med_adm1,med_adm1,string,[]
med_adm2,med_adm2,string,[]
med_adm3,med_adm3,string,[]
med_adm4,med_adm4,string,[]
medicacao_previa,medicacao_previa,string,[]
mes,mes,integer,[]
n_rastreio,n_rastreio,integer,[]
nome,nome,string,[]
nome_acomp,nome_acomp,string,[]
nome_mae,nome_mae,string,[]
nome_med1,nome_med1,string,[]
nome_med2,nome_med2,string,[]
nome_med3,nome_med3,string,[]
nome_med4,nome_med4,string,[]
nome_pai,nome_pai,string,[]
nota_condicao,nota_condicao,note,[]
numero_med,numero_med,integer,[]
outra_condicao,outra_condicao,string,[]
outro_acompanhante,outro_acompanhante,string,[]
outro_med2,outro_med2,string,[]
outro_med3,outro_med3,string,[]
outro_med4,outro_med4,string,[]
outro_medicamento,outro_medicamento,string,[]
outro_sintomas,outro_sintomas,string,[]
outros_med,outros_med,string,[]
outros_medicamentos,outros_medicamentos,note,[]
paludismo_grave,paludismo_grave,string,[]
peso,peso,number,[]
ponto_referencia,ponto_referencia,string,[]
rastreioID_completo,rastreioID_completo,string,[]
razao,razao,string,[]
region,region,string,[]
resultado_TDR,resultado_TDR,string,[]
sexo,sexo,string,[]
tab_bairro,tab_bairro,string,[]
tel_acomp,tel_acomp,integer,[]
tel_mae,tel_mae,integer,[]
tel_pai,tel_pai,integer,[]
temperatura,temperatura,number,[]
tomando_med1,tomando_med1,string,[]
tomando_med2,tomando_med2,string,[]
tomando_med3,tomando_med3,string,[]
tomando_med4,tomando_med4,string,[]
via_med1,via_med1,string,[]
via_med2,via_med2,string,[]
via_med3,via_med3,string,[]
via_med4,via_med4,string,[]
via_oral,via_oral,string,[]
vomito,vomito,string,[]
vomitou_AQ,vomitou_AQ,string,[]
vomitou_SP,vomitou_SP,string,[]
vomitou_adm1,vomitou_adm1,string,[]
vomitou_adm2,vomitou_adm2,string,[]
vomitou_adm3,vomitou_adm3,string,[]
vomitou_adm4,vomitou_adm4,string,[]
zona,zona,string,[]
