cs,region,lista
bafata,bafata,2D2
bafata,bafata,2E6
bafata,bafata,2C6
bafata,bafata,2E7
bafata,bafata,2F8
bafata,bafata,302
bafata,bafata,2C4
bafata,bafata,2EE
bafata,bafata,2E1
bafata,bafata,30F
bafata,bafata,2D6
bafata,bafata,301
bafata,bafata,2C7
bafata,bafata,2DB
bafata,bafata,2D5
bafata,bafata,2CF
bambadinca,bafata,2F0
bambadinca,bafata,2F2
bambadinca,bafata,2E3
bambadinca,bafata,2F5
bambadinca,bafata,31A
bambadinca,bafata,2EA
bambadinca,bafata,2F6
bambadinca,bafata,31E
bambadinca,bafata,30E
bambadinca,bafata,30B
bambadinca,bafata,306
bambadinca,bafata,315
bambadinca,bafata,31D
bambadinca,bafata,2F1
bambadinca,bafata,316
bambadinca,bafata,2C2
cosse,bafata,2C0
cosse,bafata,2EF
cosse,bafata,2FB
cosse,bafata,312
cosse,bafata,2FE
cosse,bafata,2F3
cosse,bafata,2E2
cosse,bafata,2E5
cosse,bafata,2E9
cosse,bafata,2BD
cosse,bafata,314
cosse,bafata,2CC
cosse,bafata,2D4
cosse,bafata,308
cosse,bafata,2C9
cosse,bafata,30A
gabu,gabu,2CD
gabu,gabu,2E4
gabu,gabu,319
gabu,gabu,2DD
gabu,gabu,2C3
gabu,gabu,2D1
gabu,gabu,2E8
gabu,gabu,311
gabu,gabu,2FD
gabu,gabu,2DA
gabu,gabu,2BC
gabu,gabu,318
gabu,gabu,2CE
gabu,gabu,320
gabu,gabu,305
gabu,gabu,2C8
mafanco,gabu,2BF
mafanco,gabu,2EB
mafanco,gabu,30C
mafanco,gabu,2D7
mafanco,gabu,2F7
mafanco,gabu,307
mafanco,gabu,2DC
mafanco,gabu,2CA
mafanco,gabu,2D3
mafanco,gabu,2D8
mafanco,gabu,30D
mafanco,gabu,2F4
mafanco,gabu,2FF
mafanco,gabu,31C
mafanco,gabu,2ED
mafanco,gabu,2E0
pitche,gabu,2D9
pitche,gabu,2C1
pitche,gabu,309
pitche,gabu,317
pitche,gabu,2D0
pitche,gabu,2CB
pitche,gabu,2EC
pitche,gabu,31F
pitche,gabu,2BE
pitche,gabu,2F9
pitche,gabu,2DF
pitche,gabu,2DE
pitche,gabu,303
pitche,gabu,310
pitche,gabu,31B
pitche,gabu,2FA
pitche,gabu,2C5
pitche,gabu,2FC
pitche,gabu,300
pitche,gabu,304
pitche,gabu,313
