local,region,sector,zona
Camancorro,Bafata,Bafata,rural
Cidade de Bafata1,Bafata,Bafata,urbano
Cidade de Bafata2,Bafata,Bafata,urbano
Cidade de Bafata3,Bafata,Bafata,urbano
Cidade de Bafata4,Bafata,Bafata,urbano
Demba Coli,Bafata,Bafata,rural
Santandjam,Bafata,Bafata,rural
Sare Baube,Bafata,Bafata,rural
Bambadinca,Bafata,Bambadinca,urbano
Bantanjam Cuta,Bafata,Bambadinca,rural
Sintcha Witcha,Bafata,Bambadinca,rural
Bancolene,Bafata,Contuboel,rural
Bricama S Saido,Bafata,Contuboel,rural
Cuncosita,Bafata,Contuboel,rural
Darsalame ( Sintcha Marsali ),Bafata,Contuboel,rural
Jambur,Bafata,Contuboel,rural
Mampata,Bafata,Contuboel,rural
Sare Djata,Bafata,Contuboel,rural
Sare Meta Baido,Bafata,Contuboel,rural
Sintcha Buco,Bafata,Contuboel,rural
Sintcha Samadu Bobo,Bafata,Contuboel,rural
Solucocum,Bafata,Contuboel,rural
Ualicunda,Bafata,Contuboel,rural
Munhine,Bafata,Cosse,rural
Sare Mansa,Bafata,Cosse,rural
Cotobila,Bafata,Gamamudo,rural
Judeia,Bafata,Gamamudo,rural
Sare Madina,Bafata,Gamamudo,rural
Sintcha Errodeluma,Bafata,Gamamudo,rural
Sintcha Mansali,Bafata,Gamamudo,rural
Sintcha Uali,Bafata,Gamamudo,rural
Cancode Mandinga,Bafata,Xitole,rural
Queneba,Bafata,Xitole,rural
Sintcha Moli,Bafata,Xitole,rural
Tongali,Bafata,Xitole,rural
Xitole,Bafata,Xitole,rural
Alto Cabral,Bolama/Bijagos,Bolama,rural
Ambancana,Bolama/Bijagos,Bolama,rural
Ametite,Bolama/Bijagos,Bolama,rural
Caboupa Cabral,Bolama/Bijagos,Bolama,rural
Cidade de Bolama1,Bolama/Bijagos,Bolama,urbano
Cidade de Bolama2,Bolama/Bijagos,Bolama,urbano
Cidade de Bolama3,Bolama/Bijagos,Bolama,urbano
Colonia de Baixo,Bolama/Bijagos,Bolama,rural
Ga - Balanta,Bolama/Bijagos,Bolama,rural
Ga - Mindjor,Bolama/Bijagos,Bolama,rural
Ga - Sene,Bolama/Bijagos,Bolama,rural
Lala Mancanha,Bolama/Bijagos,Bolama,rural
Madina,Bolama/Bijagos,Bolama,rural
Marssace,Bolama/Bijagos,Bolama,rural
Santa Maria,Bolama/Bijagos,Bolama,rural
Sao Joao,Bolama/Bijagos,Bolama,rural
Agumpa,Bolama/Bijagos,Bubaque,rural
Ambuduco,Bolama/Bijagos,Bubaque,rural
Ancaguine,Bolama/Bijagos,Bubaque,rural
Ancaminho,Bolama/Bijagos,Bubaque,rural
Ancamona,Bolama/Bijagos,Bubaque,rural
Ancanho,Bolama/Bijagos,Bubaque,rural
Aneguen,Bolama/Bijagos,Bubaque,rural
Bruce,Bolama/Bijagos,Bubaque,rural
Djone (Idjoue),Bolama/Bijagos,Bubaque,rural
Acuno,Bolama/Bijagos,Caravela,rural
Candjirba de Nhambane,Bolama/Bijagos,Caravela,rural
Pandja,Bolama/Bijagos,Caravela,rural
Pante Budjubi,Bolama/Bijagos,Caravela,rural
Sidja,Bolama/Bijagos,Caravela,rural
Anbuduco,Bolama/Bijagos,Uno,rural
Ancobara,Bolama/Bijagos,Uno,rural
Ancumba,Bolama/Bijagos,Uno,rural
Bruce,Bolama/Bijagos,Uno,rural
Erree,Bolama/Bijagos,Uno,rural
Ossacane,Bolama/Bijagos,Uno,rural
Assiete,Biombo,Prabis,rural
Bidjala,Biombo,Prabis,rural
Cumura de Padre,Biombo,Prabis,urbano
Cupol,Biombo,Prabis,rural
Enteramento,Biombo,Prabis,urbano
Lala,Biombo,Prabis,rural
Nanque de Estrada,Biombo,Prabis,rural
Pacaque,Biombo,Prabis,rural
Pefine Balanta,Biombo,Prabis,rural
Pefine Papel Areia,Biombo,Prabis,rural
Pefine Pescador,Biombo,Prabis,rural
Ponta Afia - II (Cassumai),Biombo,Prabis,rural
Quecete,Biombo,Prabis,rural
Bejila (Sabor Balanta),Biombo,Quinhamel,rural
Bissauzinho,Biombo,Quinhamel,rural
Blimlim,Biombo,Quinhamel,rural
Blom,Biombo,Quinhamel,rural
Bucomil,Biombo,Quinhamel,rural
Clatele - II,Biombo,Quinhamel,rural
Dorce,Biombo,Quinhamel,rural
Ome,Biombo,Quinhamel,rural
Ondame,Biombo,Quinhamel,rural
Ponta Vermelha,Biombo,Quinhamel,rural
Quinhamel,Biombo,Quinhamel,urbano
Quinhamel,Biombo,Quinhamel,urbano
Quitande,Biombo,Quinhamel,rural
Urtungul,Biombo,Quinhamel,rural
Bissaguel_1,Biombo,Safim,urbano
Bissaguel_2,Biombo,Safim,urbano
Bissalanca,Biombo,Safim,rural
Cidade de Safim,Biombo,Safim,urbano
Condinga,Biombo,Safim,rural
Controle,Biombo,Safim,urbano
Inticlem,Biombo,Safim,rural
Ponta Gato,Biombo,Safim,rural
Ponta Vicente da Mata,Biombo,Safim,rural
Bubutul Ponta Nova  II,Cacheu,Bigene,rural
Outra Banda,Cacheu,Bigene,rural
Ponta Caba,Cacheu,Bigene,rural
SEDENGAL,Cacheu,Bigene,rural
Senquemem Ba,Cacheu,Bigene,rural
Somec Tem Tudo,Cacheu,Bigene,rural
Talico  1,Cacheu,Bigene,rural
CIDADE DE BULA1,Cacheu,Bula,urbano
CIDADE DE BULA2,Cacheu,Bula,urbano
Bies,Cacheu,Bula,rural
Canjinha de Cima,Cacheu,Bula,rural
Cau,Cacheu,Bula,rural
Djita Porto,Cacheu,Bula,rural
Intalelai  1,Cacheu,Bula,rural
Barum,Cacheu,Cacheu,rural
Cacheu Murcunda Cacanda e Ribada,Cacheu,Cacheu,urbano
Inhangabate,Cacheu,Cacheu,rural
Pacau,Cacheu,Cacheu,rural
Belebante,Cacheu,Caio,rural
Cadjugute  II,Cacheu,Caio,rural
Ponta de Mumon,Cacheu,Caio,rural
Bitame,Cacheu,Canchungo,rural
Bitchima,Cacheu,Canchungo,rural
Blute I,Cacheu,Canchungo,rural
Cachame,Cacheu,Canchungo,rural
CATCHOBAR,Cacheu,Canchungo,rural
CIDADE DE CANCHUNGO1,Cacheu,Canchungo,urbano
CIDADE DE CANCHUNGO2,Cacheu,Canchungo,urbano
CIDADE DE CANCHUNGO3,Cacheu,Canchungo,urbano
Quebaca,Cacheu,Canchungo,rural
