_element_key,_element_name,_element_type,_list_child_element_keys
DOB_ou_idade,DOB_ou_idade,string,[]
DoseAdjustedDay,DoseAdjustedDay,assign,[]
ano,ano,integer,[]
bebe,bebe,string,[]
coceira,coceira,string,[]
codigo_lamina,codigo_lamina,assign,[]
come,come,string,[]
comentario,comentario,string,[]
convulsao,convulsao,string,[]
cs,cs,string,[]
data_fomulario,data_fomulario,assign,[]
date_AQ,date_AQ,string,[]
date_rastreio,date_rastreio,string,[]
dia_alterado,dia_alterado,assign,[]
dia_corregido,dia_corregido,assign,[]
dn,dn,string,[]
doente,doente,string,[]
dor_articular,dor_articular,string,[]
dose_AQ,dose_AQ,string,[]
esp_motivo,esp_motivo,string,[]
esp_sintomas,esp_sintomas,string,[]
esp_tipovisita,esp_tipovisita,string,[]
evento_adverso,evento_adverso,string,[]
exantema,exantema,string,[]
febre,febre,string,[]
hora_AQ,hora_AQ,time,[]
hora_vomito_AQ,hora_vomito_AQ,time,[]
id_estudo,id_estudo,string,[]
id_visita,id_visita,assign,[]
lamina,lamina,string,[]
mes,mes,integer,[]
motivo_ausencia,motivo_ausencia,string,[]
nome,nome,string,[]
nome_mae,nome_mae,string,[]
nome_pai,nome_pai,string,[]
outro_medicamento,outro_medicamento,string,[]
outro_sintomas,outro_sintomas,string,[]
picture_lamina,picture_lamina,mimeUri,"[""picture_lamina_contentType"",""picture_lamina_uriFragment""]"
picture_lamina_contentType,contentType,mimeType,[]
picture_lamina_uriFragment,uriFragment,rowpath,[]
presenca,presenca,string,[]
region,region,string,[]
sexo,sexo,string,[]
sinais_perigo,sinais_perigo,string,[]
temperatura,temperatura,number,[]
tipo_visita,tipo_visita,string,[]
visita_id,visita_id,integer,[]
vomito,vomito,string,[]
vomitou_AQ,vomitou_AQ,string,[]
